Pseudo;Contribution;Sujet;Consultation
fab59;"Chaque député  ne devrait plus avoir l'immunité parlementaire s'il a commis un délit ou un crime. Comment un député pourrait-il être au dessus des lois qu'il a lui-même voté et dont il est normalement le digne représentant ? Un député est un représentant du peuple, il a été élu par le peuple, il doit donc être intègre pour pouvoir le représenter. N'a-t-on jamais vu un homme reconnu médiatiquement faisant parti de la pègre ou de la mafia se faire élire député en France ? Non, bien évidemment, car le peuple ne veut pas que ce soit un voyou qui établisse des lois qui ne seraient qu'en sa faveur et pas pour le bien de tous ! Laisser l'immunité aux députés laisseraient penser qu'ils peuvent continuer à faire tout ce qui est illégal en n'étant jamais puni. C'est la base d'une justice pour tout citoyen français. Un député doit pouvoir être jugé comme n'importe quel citoyen et s'il est reconnu coupable, il est radié à tout jamais de la possibilité de se présenter en tant que député, car comment peut-on avoir confiance en une personne qui ne respecte pas les lois ! Arrêtons de faire croire aux députés qu'ils peuvent se prendre pour des dieux sans loi, ni foi ! La confiance des français a été tellement bafouée depuis des années, la morale a été tellement peu respectée qu'il s'en est suivi un profond désintéressement de la vie politique comme le témoigne toutes les élections depuis cette dernière décennie.
Il est aussi impensable de continuer à rémunérer les députés qui ne viennent pas à l'assemblée ! Voit-on un dirigeant d'entreprise payer ses employés s'ils ne viennent pas travailler alors qu'ils ne sont pas en vacances ? Non évidemment, car l'entreprise ferait faillite en peu de temps. Alors pourquoi certains députés se permettent de ne pas venir travailler alors qu'ils sont rémunérés par tous les français ? Les français ne veulent plus être considérés comme ""des vaches à lait"" d'autant que beaucoup d'entre eux ont des salaires tellement petits qu'ils sont à la limite de la pauvreté pour ceux qui ont la chance d'avoir un travail, quand à ceux qui souhaiteraient travailler mais qui ne trouvent pas d'emploi, ils maudissent les députés qui osent ne pas venir travailler alors qu'ils sont grassement rémunérés. De ce fait, comment peut-on imaginer croire en l'homme politique et en la valeur des institutions actuelles qui paraissent vraiment hors du temps de la société actuelle ! Pourquoi avons-nous fait la révolution si c'était pour faire place 2 siècles après, à une nouvelle aristocratie celle-ci politique qui se croit tout permis sans jamais être inquiétée ? Il faut maintenant changer sous peine d'avoir une nouvelle Révolution et de mettre à feu et à sang la France quand la majorité des français n'auront plus rien à perdre ayant déjà tout perdus ! 
Rénover la vie politique en la rendant JUSTE est INDISPENSABLE pour pouvoir progresser et redonner aux g";"Suppression de l'immunité des députés et plus ";"Le statut des députés et leurs moyens de travail "
Gene;" L'ETAT pourrait peut-être une solution pour que l'o puisse payer notre facture internet à l'état comme les impôts au Trésor Public ensuite le gouvernement ferait le nécessaire avec les opérateurs pour éviter toutes les escroqueries que les clients subissent. Merci";internet;"Le statut des députés et leurs moyens de travail "
DAC;"Je pense qu'il faut un vrai statut et un contrat de travail normalisé pour les assistants, tant du point de vue du salaire que du nombre d'heure de travail.Cela serait plus sain et éviterait les différences.  Celui ci doit pouvoir donner lieu à des indemnités de chômage en fin de contrat si nécessaire. C'est un vrai travail et il est normal qu'il rentre dans un cadre d'emploi. Les assistants bien sûr ne devraient pas être choisis parmi les membres de la famille proche. Le contrat devra tenir compte de la nécessaire flexibilité dont le député a besoin. Il leur faudrait une session de formation d'une journée s'ils sont nouveaux. Leur recrutement devrait donner lieu à plus de transparence. D'autre part ce recrutement doit être soigneux car l'obligation de réserve doit être respectée par l'assistant pendant et après sa mission.";"assistants parlementaires";"Le statut des députés et leurs moyens de travail "
"Dan ";"Bonjour, 
**Fiscalité des élus alignée sur celle des autres citoyens** . Totalité des revenus  soumise à l'impôt sur le revenu .  Cotisations identiques y compris la CSG. Aucun avantage en nature. Aucun passe-droit. 
**Remboursement des frais professionnels éventuels sur présentation d'un justificatif** quel que soit le montant. 
**Suppression du régime spécial de retraite** . Limite d'âge identique aux autres citoyens! 
**Présence obligatoire dans l'hémicycle** et horaires à respecter comme tous les autres travailleurs.
**Limiter le nombre d'amendements** pour empêcher l'obstruction parlementaire.
**Publier sur internet leurs travaux** et leurs autres propositions.
**Diminuer le nombre des députés au moins de moitié**.
Salutations à tous
";"Citoyens LAMDA";"Le statut des députés et leurs moyens de travail "
anamag;"Premièrement supprimer 1/3 des députés comme l'a indiqué le Président mais surtout supprimer le Sénat (ou les faire nommer par tirage au sort) et les Conseillers Départementaux. Regarder en Normandie 2 listes LR pour pouvoir faire élire 2 hommes ????? C'est scandaleux, il faudrait faire un deuxième dégagement de ces politiciens minables. 
Faire une loi pour que les Ministres qui trafic les comptes de leur ministère soit sévèrement sanctionné comme Michel Sapin, Marisol Touraine, etc.... INELIGIBILITE A VIE , AMANDE ET MEME PRISON.";"Réforme de l'Assemblée National (Sénat et Départe ";"Le statut des députés et leurs moyens de travail "
Maryline;"Il faut supprimer le sénat qui ne sert à  presque rien pour 1 coût  exhorbitant....  L'absentéisme et le grand âge  de certains sénateurs le démontrent amplement....";"Économies ";"Le statut des députés et leurs moyens de travail "
nileabeille;"Connaître les noms et missions des assistants parlementaires, ce qualificatif étant pour les profanes souvent abstraits. Qu'ils soient le relais entre les populations, rurales notamment, éparpillées sur le territoire, et la/le député afin de transmettre, d'expliquer les travaux en cours au sein de l'Assemblée puis de recueillir en retour les demandes des citoyens dans les besoins de leur vie quotidienne. Savoir quels sont les contrats et protections de ces personnes bénéficiant d'un travail limité dans le temps.";"assistants parlementaires";"Le statut des députés et leurs moyens de travail "
Karibou;"pas seulement des députés mais des ex députés, sénateurs, ministres et présidents de la république

en réduire drastiquement le coût en prenant exemple sur les pays nordiques";"les avantages fiscaux, de retraite et matériels";"Le statut des députés et leurs moyens de travail "
"mara des bois";"Diminuer le nombre d'élus, augmenter leur salaire, prendre en charge leurs frais professionnels sur justificatifs . Soumis aux mêmes droits et devoirs que le simple citoyen sur le temps de travail et heures suplémentaires, imposition, droits à la retraite, régime d'assurance maladie et chômage ( si non ré élu ) . Informer les citoyens de leurs travaux sur un site dédié . Formaliser sur le territoire des réunions de rencontre avec les habitants sans tenir compte de leur mouvance politique afin de recueillir leurs difficultés ou souhaits . Bref un député citoyen qui fait son travail et non prédateur qui ""se nourri sur la bête"" et pratique le clientélisme . J'ai 67 ans grâce à EM j'ai rencontré pour la première fois un député/sénateur . Le Maire de la ville est heureusement plus accessible . Accorder un statut de fonctionnaire avec diplôme aux assistants parlementaires ouvert à tous afin d'éviter les collusions et de s'assurer un minimum d'efficacité et d'égalité . Réduire le train de vie à l'Assemblée si possible . Il n'y a pas de petites économies au niveau d'un grand pays . Une dose de proportionnelle serait souhaitable afin de représenter toutes les tendances .";"Réforme de l'Assemblée Nationale";"Le statut des députés et leurs moyens de travail "
"Tocqueville 46";"Il est indispensable de rapprocher le statut des députés de celui du citoyen lambda afin de limiter le développement d'un antiparlementarisme qui alimente les populismes d'extrême droite et d'extrême gauche.
Cela suppose notamment une réflexion en profondeur, sans tabou et dans la transparence, sur les questions suivantes:
     -l'immunité parlementaire
     -le montant de l'indemnité parlementaire
     -la fiscalisation de cette indemnité 
     -les avantages et privilèges divers liés à la fonction
     -la rémunération et le statut des collaborateurs
Etc...
La réduction du nombre des députés va dans le bon sens mais il faut que la répartition des sièges et le dosage entre élection au scrutin majoritaire et à la proportionnelle se fassent dans la plus grande transparence en respectant une juste représentation des territoires. Il ne faut pas oublier que le Sénat joue aussi un rôle de ce point de vue et la réduction indispensable du nombre de sénateurs doit être pensée en articulation avec celle du nombre des députés. Le mode de scrutin pour l'élections des sénateurs et la durée de leur mandat devrait aussi être repensés pour que cette institution apparaisse plus democratique et complémentaire avec l'assemblée nationale


";"Statut des députés ";"Le statut des députés et leurs moyens de travail "
